name,company,year,Price,kms_driven,fuel_type,age,company_encoded,name_encoded,fuel_type_encoded
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000.0,45000,Petrol,17,12,145,2
Mahindra Jeep CL550 MDI,Mahindra,2006,425000.0,40,Diesel,18,18,191,0
Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,325000.0,28000,Petrol,10,12,134,2
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,575000.0,36000,Diesel,10,9,56,0
Ford Figo,Ford,2012,175000.0,41000,Diesel,12,9,63,0
Hyundai Eon,Hyundai,2013,190000.0,25000,Petrol,11,12,119,2
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,830000.0,24530,Diesel,8,9,54,0
Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000.0,60000,Petrol,9,19,244,2
Skoda Fabia Classic 1.2 MPI,Skoda,2010,182000.0,60000,Petrol,14,26,378,2
Maruti Suzuki Stingray VXi,Maruti,2015,315000.0,30000,Petrol,9,19,290,2
Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000.0,32000,Petrol,10,12,117,2
Mahindra Scorpio SLE BS IV,Mahindra,2015,320000.0,48660,Diesel,9,18,207,0
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000.0,45000,Petrol,17,12,145,2
Mahindra Jeep CL550 MDI,Mahindra,2006,425000.0,40,Diesel,18,18,191,0
Audi A8,Audi,2017,1000000.0,4000,Petrol,7,2,6,2
Audi Q7,Audi,2014,500000.0,16934,Diesel,10,2,9,0
Mahindra Scorpio S10,Mahindra,2016,350000.0,43000,Diesel,8,18,204,0
Maruti Suzuki Alto 800,Maruti,2014,160000.0,35550,Petrol,10,19,235,2
Mahindra Scorpio S10,Mahindra,2016,350000.0,43000,Diesel,8,18,204,0
Mahindra Scorpio S10,Mahindra,2016,310000.0,39522,Diesel,8,18,204,0
Maruti Suzuki Alto 800 Vxi,Maruti,2015,75000.0,39000,Petrol,9,19,239,2
Hyundai i20 Sportz 1.2,Hyundai,2012,100000.0,55000,Petrol,12,12,178,2
Hyundai i20 Sportz 1.2,Hyundai,2012,100000.0,55000,Petrol,12,12,178,2
Hyundai i20 Sportz 1.2,Hyundai,2012,100000.0,55000,Petrol,12,12,178,2
Maruti Suzuki Alto 800 Lx,Maruti,2017,190000.0,72000,Petrol,7,19,237,2
Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,290000.0,15975,Diesel,8,19,318,0
Maruti Suzuki Alto LX,Maruti,2008,95000.0,70000,Petrol,16,19,246,2
Mahindra Bolero DI,Mahindra,2017,180000.0,23452,Diesel,7,18,187,0
Maruti Suzuki Swift Dzire ZDi,Maruti,2014,385000.0,35522,Diesel,10,19,300,0
Mahindra Scorpio S10 4WD,Mahindra,2015,250000.0,48508,Diesel,9,18,205,0
Maruti Suzuki Swift Vdi BSIII,Maruti,2017,180000.0,15487,Petrol,7,19,313,2
Maruti Suzuki Wagon R VXi BS III,Maruti,2013,105000.0,39000,Petrol,11,19,330,2
Maruti Suzuki Wagon R VXi Minor,Maruti,2013,105000.0,39000,Petrol,11,19,331,2
Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,650000.0,82000,Diesel,12,31,456,0
Renault Lodgy 85 PS RXL,Renault,2018,689999.0,20000,Diesel,6,24,371,0
Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,448000.0,68000,Diesel,12,26,383,0
Maruti Suzuki Baleno Delta 1.2,Maruti,2017,549000.0,32000,Diesel,7,19,250,0
Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,501000.0,38000,Diesel,12,24,359,0
